Region;Building type;Age cohort;Steel product;value
MLT;Ret;1945-1969;Concrete reinforcing bars in transport concrete;43.84
MLT;Ret;1945-1969;Concrete reinforcing bars in precast concrete;20.16
MLT;Ret;1945-1969;Hot rolled bars;0
MLT;Ret;1945-1969;Wire rod;0
MLT;Ret;1945-1969;Railway track material;0
MLT;Ret;1945-1969;Heavy sections;0
MLT;Ret;1945-1969;Light sections;0
MLT;Ret;1945-1969;Seamless tubes;0
MLT;Ret;1945-1969;Hot rolled plate;0
MLT;Ret;1945-1969;Hot rolled coild, sheet and strip;0
MLT;Ret;1945-1969;Electrical sheet and strip;0
MLT;Ret;1945-1969;Tinmill products;0
MLT;Ret;1945-1969;Other metal coated sheet and strip;0
MLT;Ret;1945-1969;Non-metallic coated sheet and strip;0
MLT;Ret;1945-1969;Welded tubes;0
MLT;Ret;1945-1969;Liquid steel;0
MLT;Ret;1970-1989;Concrete reinforcing bars in transport concrete;43.84
MLT;Ret;1970-1989;Concrete reinforcing bars in precast concrete;20.16
MLT;Ret;1970-1989;Hot rolled bars;0
MLT;Ret;1970-1989;Wire rod;0
MLT;Ret;1970-1989;Railway track material;0
MLT;Ret;1970-1989;Heavy sections;0
MLT;Ret;1970-1989;Light sections;0
MLT;Ret;1970-1989;Seamless tubes;0
MLT;Ret;1970-1989;Hot rolled plate;0
MLT;Ret;1970-1989;Hot rolled coild, sheet and strip;0
MLT;Ret;1970-1989;Electrical sheet and strip;0
MLT;Ret;1970-1989;Tinmill products;0
MLT;Ret;1970-1989;Other metal coated sheet and strip;0
MLT;Ret;1970-1989;Non-metallic coated sheet and strip;0
MLT;Ret;1970-1989;Welded tubes;0
MLT;Ret;1970-1989;Liquid steel;0
MLT;Ret;1990-2010;Concrete reinforcing bars in transport concrete;43.84
MLT;Ret;1990-2010;Concrete reinforcing bars in precast concrete;20.16
MLT;Ret;1990-2010;Hot rolled bars;0
MLT;Ret;1990-2010;Wire rod;0
MLT;Ret;1990-2010;Railway track material;0
MLT;Ret;1990-2010;Heavy sections;0
MLT;Ret;1990-2010;Light sections;0
MLT;Ret;1990-2010;Seamless tubes;0
MLT;Ret;1990-2010;Hot rolled plate;0
MLT;Ret;1990-2010;Hot rolled coild, sheet and strip;0
MLT;Ret;1990-2010;Electrical sheet and strip;0
MLT;Ret;1990-2010;Tinmill products;0
MLT;Ret;1990-2010;Other metal coated sheet and strip;0
MLT;Ret;1990-2010;Non-metallic coated sheet and strip;0
MLT;Ret;1990-2010;Welded tubes;0
MLT;Ret;1990-2010;Liquid steel;0
MLT;Ret;2011-2020;Concrete reinforcing bars in transport concrete;43.84
MLT;Ret;2011-2020;Concrete reinforcing bars in precast concrete;20.16
MLT;Ret;2011-2020;Hot rolled bars;0
MLT;Ret;2011-2020;Wire rod;0
MLT;Ret;2011-2020;Railway track material;0
MLT;Ret;2011-2020;Heavy sections;0
MLT;Ret;2011-2020;Light sections;0
MLT;Ret;2011-2020;Seamless tubes;0
MLT;Ret;2011-2020;Hot rolled plate;0
MLT;Ret;2011-2020;Hot rolled coild, sheet and strip;0
MLT;Ret;2011-2020;Electrical sheet and strip;0
MLT;Ret;2011-2020;Tinmill products;0
MLT;Ret;2011-2020;Other metal coated sheet and strip;0
MLT;Ret;2011-2020;Non-metallic coated sheet and strip;0
MLT;Ret;2011-2020;Welded tubes;0
MLT;Ret;2011-2020;Liquid steel;0
MLT;Ret;2021-2030;Concrete reinforcing bars in transport concrete;43.84
MLT;Ret;2021-2030;Concrete reinforcing bars in precast concrete;20.16
MLT;Ret;2021-2030;Hot rolled bars;0
MLT;Ret;2021-2030;Wire rod;0
MLT;Ret;2021-2030;Railway track material;0
MLT;Ret;2021-2030;Heavy sections;0
MLT;Ret;2021-2030;Light sections;0
MLT;Ret;2021-2030;Seamless tubes;0
MLT;Ret;2021-2030;Hot rolled plate;0
MLT;Ret;2021-2030;Hot rolled coild, sheet and strip;0
MLT;Ret;2021-2030;Electrical sheet and strip;0
MLT;Ret;2021-2030;Tinmill products;0
MLT;Ret;2021-2030;Other metal coated sheet and strip;0
MLT;Ret;2021-2030;Non-metallic coated sheet and strip;0
MLT;Ret;2021-2030;Welded tubes;0
MLT;Ret;2021-2030;Liquid steel;0
MLT;Ret;2031-2040;Concrete reinforcing bars in transport concrete;43.84
MLT;Ret;2031-2040;Concrete reinforcing bars in precast concrete;20.16
MLT;Ret;2031-2040;Hot rolled bars;0
MLT;Ret;2031-2040;Wire rod;0
MLT;Ret;2031-2040;Railway track material;0
MLT;Ret;2031-2040;Heavy sections;0
MLT;Ret;2031-2040;Light sections;0
MLT;Ret;2031-2040;Seamless tubes;0
MLT;Ret;2031-2040;Hot rolled plate;0
MLT;Ret;2031-2040;Hot rolled coild, sheet and strip;0
MLT;Ret;2031-2040;Electrical sheet and strip;0
MLT;Ret;2031-2040;Tinmill products;0
MLT;Ret;2031-2040;Other metal coated sheet and strip;0
MLT;Ret;2031-2040;Non-metallic coated sheet and strip;0
MLT;Ret;2031-2040;Welded tubes;0
MLT;Ret;2031-2040;Liquid steel;0
MLT;Ret;2040<;Concrete reinforcing bars in transport concrete;43.84
MLT;Ret;2040<;Concrete reinforcing bars in precast concrete;20.16
MLT;Ret;2040<;Hot rolled bars;0
MLT;Ret;2040<;Wire rod;0
MLT;Ret;2040<;Railway track material;0
MLT;Ret;2040<;Heavy sections;0
MLT;Ret;2040<;Light sections;0
MLT;Ret;2040<;Seamless tubes;0
MLT;Ret;2040<;Hot rolled plate;0
MLT;Ret;2040<;Hot rolled coild, sheet and strip;0
MLT;Ret;2040<;Electrical sheet and strip;0
MLT;Ret;2040<;Tinmill products;0
MLT;Ret;2040<;Other metal coated sheet and strip;0
MLT;Ret;2040<;Non-metallic coated sheet and strip;0
MLT;Ret;2040<;Welded tubes;0
MLT;Ret;2040<;Liquid steel;0
MLT;Off;>1945;Concrete reinforcing bars in transport concrete;0
MLT;Off;>1945;Concrete reinforcing bars in precast concrete;0
MLT;Off;>1945;Hot rolled bars;0
MLT;Off;>1945;Wire rod;0
MLT;Off;>1945;Railway track material;0
MLT;Off;>1945;Heavy sections;0
MLT;Off;>1945;Light sections;0
MLT;Off;>1945;Seamless tubes;0
MLT;Off;>1945;Hot rolled plate;0
MLT;Off;>1945;Hot rolled coild, sheet and strip;0
MLT;Off;>1945;Electrical sheet and strip;0
MLT;Off;>1945;Tinmill products;0
MLT;Off;>1945;Other metal coated sheet and strip;0
MLT;Off;>1945;Non-metallic coated sheet and strip;0
MLT;Off;>1945;Welded tubes;0
MLT;Off;>1945;Liquid steel;0
MLT;Off;1945-1969;Concrete reinforcing bars in transport concrete;26.304
MLT;Off;1945-1969;Concrete reinforcing bars in precast concrete;12.096
MLT;Off;1945-1969;Hot rolled bars;0
MLT;Off;1945-1969;Wire rod;0
MLT;Off;1945-1969;Railway track material;0
MLT;Off;1945-1969;Heavy sections;0
MLT;Off;1945-1969;Light sections;0
MLT;Off;1945-1969;Seamless tubes;0
MLT;Off;1945-1969;Hot rolled plate;0
MLT;Off;1945-1969;Hot rolled coild, sheet and strip;0
MLT;Off;1945-1969;Electrical sheet and strip;0
MLT;Off;1945-1969;Tinmill products;0
MLT;Off;1945-1969;Other metal coated sheet and strip;0
MLT;Off;1945-1969;Non-metallic coated sheet and strip;0
MLT;Off;1945-1969;Welded tubes;0
MLT;Off;1945-1969;Liquid steel;0
MLT;Off;1970-1989;Concrete reinforcing bars in transport concrete;97.6524492
MLT;Off;1970-1989;Concrete reinforcing bars in precast concrete;44.9058708
MLT;Off;1970-1989;Hot rolled bars;0
MLT;Off;1970-1989;Wire rod;0
MLT;Off;1970-1989;Railway track material;0
MLT;Off;1970-1989;Heavy sections;0
MLT;Off;1970-1989;Light sections;0
MLT;Off;1970-1989;Seamless tubes;0
MLT;Off;1970-1989;Hot rolled plate;0
MLT;Off;1970-1989;Hot rolled coild, sheet and strip;0
MLT;Off;1970-1989;Electrical sheet and strip;0
MLT;Off;1970-1989;Tinmill products;0
MLT;Off;1970-1989;Other metal coated sheet and strip;0
MLT;Off;1970-1989;Non-metallic coated sheet and strip;0
MLT;Off;1970-1989;Welded tubes;0
MLT;Off;1970-1989;Liquid steel;0
MLT;Off;1990-2010;Concrete reinforcing bars in transport concrete;26.304
MLT;Off;1990-2010;Concrete reinforcing bars in precast concrete;12.096
MLT;Off;1990-2010;Hot rolled bars;0
MLT;Off;1990-2010;Wire rod;0
MLT;Off;1990-2010;Railway track material;0
MLT;Off;1990-2010;Heavy sections;0
MLT;Off;1990-2010;Light sections;0
MLT;Off;1990-2010;Seamless tubes;0
MLT;Off;1990-2010;Hot rolled plate;0
MLT;Off;1990-2010;Hot rolled coild, sheet and strip;0
MLT;Off;1990-2010;Electrical sheet and strip;0
MLT;Off;1990-2010;Tinmill products;0
MLT;Off;1990-2010;Other metal coated sheet and strip;0
MLT;Off;1990-2010;Non-metallic coated sheet and strip;0
MLT;Off;1990-2010;Welded tubes;0
MLT;Off;1990-2010;Liquid steel;0
MLT;Off;2011-2020;Concrete reinforcing bars in transport concrete;26.304
MLT;Off;2011-2020;Concrete reinforcing bars in precast concrete;12.096
MLT;Off;2011-2020;Hot rolled bars;0
MLT;Off;2011-2020;Wire rod;0
MLT;Off;2011-2020;Railway track material;0
MLT;Off;2011-2020;Heavy sections;0
MLT;Off;2011-2020;Light sections;0
MLT;Off;2011-2020;Seamless tubes;0
MLT;Off;2011-2020;Hot rolled plate;0
MLT;Off;2011-2020;Hot rolled coild, sheet and strip;0
MLT;Off;2011-2020;Electrical sheet and strip;0
MLT;Off;2011-2020;Tinmill products;0
MLT;Off;2011-2020;Other metal coated sheet and strip;0
MLT;Off;2011-2020;Non-metallic coated sheet and strip;0
MLT;Off;2011-2020;Welded tubes;0
MLT;Off;2011-2020;Liquid steel;0
MLT;Off;2021-2030;Concrete reinforcing bars in transport concrete;26.304
MLT;Off;2021-2030;Concrete reinforcing bars in precast concrete;12.096
MLT;Off;2021-2030;Hot rolled bars;0
MLT;Off;2021-2030;Wire rod;0
MLT;Off;2021-2030;Railway track material;0
MLT;Off;2021-2030;Heavy sections;0
MLT;Off;2021-2030;Light sections;0
MLT;Off;2021-2030;Seamless tubes;0
MLT;Off;2021-2030;Hot rolled plate;0
MLT;Off;2021-2030;Hot rolled coild, sheet and strip;0
MLT;Off;2021-2030;Electrical sheet and strip;0
MLT;Off;2021-2030;Tinmill products;0
MLT;Off;2021-2030;Other metal coated sheet and strip;0
MLT;Off;2021-2030;Non-metallic coated sheet and strip;0
MLT;Off;2021-2030;Welded tubes;0
MLT;Off;2021-2030;Liquid steel;0
MLT;Off;2031-2040;Concrete reinforcing bars in transport concrete;26.304
MLT;Off;2031-2040;Concrete reinforcing bars in precast concrete;12.096
MLT;Off;2031-2040;Hot rolled bars;0
MLT;Off;2031-2040;Wire rod;0
MLT;Off;2031-2040;Railway track material;0
MLT;Off;2031-2040;Heavy sections;0
MLT;Off;2031-2040;Light sections;0
MLT;Off;2031-2040;Seamless tubes;0
MLT;Off;2031-2040;Hot rolled plate;0
MLT;Off;2031-2040;Hot rolled coild, sheet and strip;0
MLT;Off;2031-2040;Electrical sheet and strip;0
MLT;Off;2031-2040;Tinmill products;0
MLT;Off;2031-2040;Other metal coated sheet and strip;0
MLT;Off;2031-2040;Non-metallic coated sheet and strip;0
MLT;Off;2031-2040;Welded tubes;0
MLT;Off;2031-2040;Liquid steel;0
MLT;Off;2040<;Concrete reinforcing bars in transport concrete;26.304
MLT;Off;2040<;Concrete reinforcing bars in precast concrete;12.096
MLT;Off;2040<;Hot rolled bars;0
MLT;Off;2040<;Wire rod;0
MLT;Off;2040<;Railway track material;0
MLT;Off;2040<;Heavy sections;0
MLT;Off;2040<;Light sections;0
MLT;Off;2040<;Seamless tubes;0
MLT;Off;2040<;Hot rolled plate;0
MLT;Off;2040<;Hot rolled coild, sheet and strip;0
MLT;Off;2040<;Electrical sheet and strip;0
MLT;Off;2040<;Tinmill products;0
MLT;Off;2040<;Other metal coated sheet and strip;0
MLT;Off;2040<;Non-metallic coated sheet and strip;0
MLT;Off;2040<;Welded tubes;0
MLT;Off;2040<;Liquid steel;0
MLT;Hot;>1945;Concrete reinforcing bars in transport concrete;0
MLT;Hot;>1945;Concrete reinforcing bars in precast concrete;0
MLT;Hot;>1945;Hot rolled bars;0
MLT;Hot;>1945;Wire rod;0
MLT;Hot;>1945;Railway track material;0
MLT;Hot;>1945;Heavy sections;0
MLT;Hot;>1945;Light sections;0
MLT;Hot;>1945;Seamless tubes;0
MLT;Hot;>1945;Hot rolled plate;0
MLT;Hot;>1945;Hot rolled coild, sheet and strip;0
MLT;Hot;>1945;Electrical sheet and strip;0
MLT;Hot;>1945;Tinmill products;0
MLT;Hot;>1945;Other metal coated sheet and strip;0
MLT;Hot;>1945;Non-metallic coated sheet and strip;0
MLT;Hot;>1945;Welded tubes;0
MLT;Hot;>1945;Liquid steel;0
MLT;Hot;1945-1969;Concrete reinforcing bars in transport concrete;26.304
MLT;Hot;1945-1969;Concrete reinforcing bars in precast concrete;12.096
MLT;Hot;1945-1969;Hot rolled bars;0
MLT;Hot;1945-1969;Wire rod;0
MLT;Hot;1945-1969;Railway track material;0
MLT;Hot;1945-1969;Heavy sections;0
MLT;Hot;1945-1969;Light sections;0
MLT;Hot;1945-1969;Seamless tubes;0
MLT;Hot;1945-1969;Hot rolled plate;0
MLT;Hot;1945-1969;Hot rolled coild, sheet and strip;0
MLT;Hot;1945-1969;Electrical sheet and strip;0
MLT;Hot;1945-1969;Tinmill products;0
MLT;Hot;1945-1969;Other metal coated sheet and strip;0
MLT;Hot;1945-1969;Non-metallic coated sheet and strip;0
MLT;Hot;1945-1969;Welded tubes;0
MLT;Hot;1945-1969;Liquid steel;0
MLT;Hot;1970-1989;Concrete reinforcing bars in transport concrete;97.6524492
MLT;Hot;1970-1989;Concrete reinforcing bars in precast concrete;44.9058708
MLT;Hot;1970-1989;Hot rolled bars;0
MLT;Hot;1970-1989;Wire rod;0
MLT;Hot;1970-1989;Railway track material;0
MLT;Hot;1970-1989;Heavy sections;0
MLT;Hot;1970-1989;Light sections;0
MLT;Hot;1970-1989;Seamless tubes;0
MLT;Hot;1970-1989;Hot rolled plate;0
MLT;Hot;1970-1989;Hot rolled coild, sheet and strip;0
MLT;Hot;1970-1989;Electrical sheet and strip;0
MLT;Hot;1970-1989;Tinmill products;0
MLT;Hot;1970-1989;Other metal coated sheet and strip;0
MLT;Hot;1970-1989;Non-metallic coated sheet and strip;0
MLT;Hot;1970-1989;Welded tubes;0
MLT;Hot;1970-1989;Liquid steel;0
MLT;Hot;1990-2010;Concrete reinforcing bars in transport concrete;26.304
MLT;Hot;1990-2010;Concrete reinforcing bars in precast concrete;12.096
MLT;Hot;1990-2010;Hot rolled bars;0
MLT;Hot;1990-2010;Wire rod;0
MLT;Hot;1990-2010;Railway track material;0
MLT;Hot;1990-2010;Heavy sections;0
MLT;Hot;1990-2010;Light sections;0
MLT;Hot;1990-2010;Seamless tubes;0
MLT;Hot;1990-2010;Hot rolled plate;0
MLT;Hot;1990-2010;Hot rolled coild, sheet and strip;0
MLT;Hot;1990-2010;Electrical sheet and strip;0
MLT;Hot;1990-2010;Tinmill products;0
MLT;Hot;1990-2010;Other metal coated sheet and strip;0
MLT;Hot;1990-2010;Non-metallic coated sheet and strip;0
MLT;Hot;1990-2010;Welded tubes;0
MLT;Hot;1990-2010;Liquid steel;0
MLT;Hot;2011-2020;Concrete reinforcing bars in transport concrete;26.304
MLT;Hot;2011-2020;Concrete reinforcing bars in precast concrete;12.096
MLT;Hot;2011-2020;Hot rolled bars;0
MLT;Hot;2011-2020;Wire rod;0
MLT;Hot;2011-2020;Railway track material;0
MLT;Hot;2011-2020;Heavy sections;0
MLT;Hot;2011-2020;Light sections;0
MLT;Hot;2011-2020;Seamless tubes;0
MLT;Hot;2011-2020;Hot rolled plate;0
MLT;Hot;2011-2020;Hot rolled coild, sheet and strip;0
MLT;Hot;2011-2020;Electrical sheet and strip;0
MLT;Hot;2011-2020;Tinmill products;0
MLT;Hot;2011-2020;Other metal coated sheet and strip;0
MLT;Hot;2011-2020;Non-metallic coated sheet and strip;0
MLT;Hot;2011-2020;Welded tubes;0
MLT;Hot;2011-2020;Liquid steel;0
MLT;Hot;2021-2030;Concrete reinforcing bars in transport concrete;26.304
MLT;Hot;2021-2030;Concrete reinforcing bars in precast concrete;12.096
MLT;Hot;2021-2030;Hot rolled bars;0
MLT;Hot;2021-2030;Wire rod;0
MLT;Hot;2021-2030;Railway track material;0
MLT;Hot;2021-2030;Heavy sections;0
MLT;Hot;2021-2030;Light sections;0
MLT;Hot;2021-2030;Seamless tubes;0
MLT;Hot;2021-2030;Hot rolled plate;0
MLT;Hot;2021-2030;Hot rolled coild, sheet and strip;0
MLT;Hot;2021-2030;Electrical sheet and strip;0
MLT;Hot;2021-2030;Tinmill products;0
MLT;Hot;2021-2030;Other metal coated sheet and strip;0
MLT;Hot;2021-2030;Non-metallic coated sheet and strip;0
MLT;Hot;2021-2030;Welded tubes;0
MLT;Hot;2021-2030;Liquid steel;0
MLT;Hot;2031-2040;Concrete reinforcing bars in transport concrete;26.304
MLT;Hot;2031-2040;Concrete reinforcing bars in precast concrete;12.096
MLT;Hot;2031-2040;Hot rolled bars;0
MLT;Hot;2031-2040;Wire rod;0
MLT;Hot;2031-2040;Railway track material;0
MLT;Hot;2031-2040;Heavy sections;0
MLT;Hot;2031-2040;Light sections;0
MLT;Hot;2031-2040;Seamless tubes;0
MLT;Hot;2031-2040;Hot rolled plate;0
MLT;Hot;2031-2040;Hot rolled coild, sheet and strip;0
MLT;Hot;2031-2040;Electrical sheet and strip;0
MLT;Hot;2031-2040;Tinmill products;0
MLT;Hot;2031-2040;Other metal coated sheet and strip;0
MLT;Hot;2031-2040;Non-metallic coated sheet and strip;0
MLT;Hot;2031-2040;Welded tubes;0
MLT;Hot;2031-2040;Liquid steel;0
MLT;Hot;2040<;Concrete reinforcing bars in transport concrete;26.304
MLT;Hot;2040<;Concrete reinforcing bars in precast concrete;12.096
MLT;Hot;2040<;Hot rolled bars;0
MLT;Hot;2040<;Wire rod;0
MLT;Hot;2040<;Railway track material;0
MLT;Hot;2040<;Heavy sections;0
MLT;Hot;2040<;Light sections;0
MLT;Hot;2040<;Seamless tubes;0
MLT;Hot;2040<;Hot rolled plate;0
MLT;Hot;2040<;Hot rolled coild, sheet and strip;0
MLT;Hot;2040<;Electrical sheet and strip;0
MLT;Hot;2040<;Tinmill products;0
MLT;Hot;2040<;Other metal coated sheet and strip;0
MLT;Hot;2040<;Non-metallic coated sheet and strip;0
MLT;Hot;2040<;Welded tubes;0
MLT;Hot;2040<;Liquid steel;0
MLT;Edu;>1945;Concrete reinforcing bars in transport concrete;0
MLT;Edu;>1945;Concrete reinforcing bars in precast concrete;0
MLT;Edu;>1945;Hot rolled bars;0
MLT;Edu;>1945;Wire rod;0
MLT;Edu;>1945;Railway track material;0
MLT;Edu;>1945;Heavy sections;0
MLT;Edu;>1945;Light sections;0
MLT;Edu;>1945;Seamless tubes;0
MLT;Edu;>1945;Hot rolled plate;0
MLT;Edu;>1945;Hot rolled coild, sheet and strip;0
MLT;Edu;>1945;Electrical sheet and strip;0
MLT;Edu;>1945;Tinmill products;0
MLT;Edu;>1945;Other metal coated sheet and strip;0
MLT;Edu;>1945;Non-metallic coated sheet and strip;0
MLT;Edu;>1945;Welded tubes;0
MLT;Edu;>1945;Liquid steel;0
MLT;Edu;1945-1969;Concrete reinforcing bars in transport concrete;26.304
MLT;Edu;1945-1969;Concrete reinforcing bars in precast concrete;12.096
MLT;Edu;1945-1969;Hot rolled bars;0
MLT;Edu;1945-1969;Wire rod;0
MLT;Edu;1945-1969;Railway track material;0
MLT;Edu;1945-1969;Heavy sections;0
MLT;Edu;1945-1969;Light sections;0
MLT;Edu;1945-1969;Seamless tubes;0
MLT;Edu;1945-1969;Hot rolled plate;0
MLT;Edu;1945-1969;Hot rolled coild, sheet and strip;0
MLT;Edu;1945-1969;Electrical sheet and strip;0
MLT;Edu;1945-1969;Tinmill products;0
MLT;Edu;1945-1969;Other metal coated sheet and strip;0
MLT;Edu;1945-1969;Non-metallic coated sheet and strip;0
MLT;Edu;1945-1969;Welded tubes;0
MLT;Edu;1945-1969;Liquid steel;0
MLT;Edu;1970-1989;Concrete reinforcing bars in transport concrete;97.6524492
MLT;Edu;1970-1989;Concrete reinforcing bars in precast concrete;44.9058708
MLT;Edu;1970-1989;Hot rolled bars;0
MLT;Edu;1970-1989;Wire rod;0
MLT;Edu;1970-1989;Railway track material;0
MLT;Edu;1970-1989;Heavy sections;0
MLT;Edu;1970-1989;Light sections;0
MLT;Edu;1970-1989;Seamless tubes;0
MLT;Edu;1970-1989;Hot rolled plate;0
MLT;Edu;1970-1989;Hot rolled coild, sheet and strip;0
MLT;Edu;1970-1989;Electrical sheet and strip;0
MLT;Edu;1970-1989;Tinmill products;0
MLT;Edu;1970-1989;Other metal coated sheet and strip;0
MLT;Edu;1970-1989;Non-metallic coated sheet and strip;0
MLT;Edu;1970-1989;Welded tubes;0
MLT;Edu;1970-1989;Liquid steel;0
MLT;Edu;1990-2010;Concrete reinforcing bars in transport concrete;26.304
MLT;Edu;1990-2010;Concrete reinforcing bars in precast concrete;12.096
MLT;Edu;1990-2010;Hot rolled bars;0
MLT;Edu;1990-2010;Wire rod;0
MLT;Edu;1990-2010;Railway track material;0
MLT;Edu;1990-2010;Heavy sections;0
MLT;Edu;1990-2010;Light sections;0
MLT;Edu;1990-2010;Seamless tubes;0
MLT;Edu;1990-2010;Hot rolled plate;0
MLT;Edu;1990-2010;Hot rolled coild, sheet and strip;0
MLT;Edu;1990-2010;Electrical sheet and strip;0
MLT;Edu;1990-2010;Tinmill products;0
MLT;Edu;1990-2010;Other metal coated sheet and strip;0
MLT;Edu;1990-2010;Non-metallic coated sheet and strip;0
MLT;Edu;1990-2010;Welded tubes;0
MLT;Edu;1990-2010;Liquid steel;0
MLT;Edu;2011-2020;Concrete reinforcing bars in transport concrete;26.304
MLT;Edu;2011-2020;Concrete reinforcing bars in precast concrete;12.096
MLT;Edu;2011-2020;Hot rolled bars;0
MLT;Edu;2011-2020;Wire rod;0
MLT;Edu;2011-2020;Railway track material;0
MLT;Edu;2011-2020;Heavy sections;0
MLT;Edu;2011-2020;Light sections;0
MLT;Edu;2011-2020;Seamless tubes;0
MLT;Edu;2011-2020;Hot rolled plate;0
MLT;Edu;2011-2020;Hot rolled coild, sheet and strip;0
MLT;Edu;2011-2020;Electrical sheet and strip;0
MLT;Edu;2011-2020;Tinmill products;0
MLT;Edu;2011-2020;Other metal coated sheet and strip;0
MLT;Edu;2011-2020;Non-metallic coated sheet and strip;0
MLT;Edu;2011-2020;Welded tubes;0
MLT;Edu;2011-2020;Liquid steel;0
MLT;Edu;2021-2030;Concrete reinforcing bars in transport concrete;26.304
MLT;Edu;2021-2030;Concrete reinforcing bars in precast concrete;12.096
MLT;Edu;2021-2030;Hot rolled bars;0
MLT;Edu;2021-2030;Wire rod;0
MLT;Edu;2021-2030;Railway track material;0
MLT;Edu;2021-2030;Heavy sections;0
MLT;Edu;2021-2030;Light sections;0
MLT;Edu;2021-2030;Seamless tubes;0
MLT;Edu;2021-2030;Hot rolled plate;0
MLT;Edu;2021-2030;Hot rolled coild, sheet and strip;0
MLT;Edu;2021-2030;Electrical sheet and strip;0
MLT;Edu;2021-2030;Tinmill products;0
MLT;Edu;2021-2030;Other metal coated sheet and strip;0
MLT;Edu;2021-2030;Non-metallic coated sheet and strip;0
MLT;Edu;2021-2030;Welded tubes;0
MLT;Edu;2021-2030;Liquid steel;0
MLT;Edu;2031-2040;Concrete reinforcing bars in transport concrete;26.304
MLT;Edu;2031-2040;Concrete reinforcing bars in precast concrete;12.096
MLT;Edu;2031-2040;Hot rolled bars;0
MLT;Edu;2031-2040;Wire rod;0
MLT;Edu;2031-2040;Railway track material;0
MLT;Edu;2031-2040;Heavy sections;0
MLT;Edu;2031-2040;Light sections;0
MLT;Edu;2031-2040;Seamless tubes;0
MLT;Edu;2031-2040;Hot rolled plate;0
MLT;Edu;2031-2040;Hot rolled coild, sheet and strip;0
MLT;Edu;2031-2040;Electrical sheet and strip;0
MLT;Edu;2031-2040;Tinmill products;0
MLT;Edu;2031-2040;Other metal coated sheet and strip;0
MLT;Edu;2031-2040;Non-metallic coated sheet and strip;0
MLT;Edu;2031-2040;Welded tubes;0
MLT;Edu;2031-2040;Liquid steel;0
MLT;Edu;2040<;Concrete reinforcing bars in transport concrete;26.304
MLT;Edu;2040<;Concrete reinforcing bars in precast concrete;12.096
MLT;Edu;2040<;Hot rolled bars;0
MLT;Edu;2040<;Wire rod;0
MLT;Edu;2040<;Railway track material;0
MLT;Edu;2040<;Heavy sections;0
MLT;Edu;2040<;Light sections;0
MLT;Edu;2040<;Seamless tubes;0
MLT;Edu;2040<;Hot rolled plate;0
MLT;Edu;2040<;Hot rolled coild, sheet and strip;0
MLT;Edu;2040<;Electrical sheet and strip;0
MLT;Edu;2040<;Tinmill products;0
MLT;Edu;2040<;Other metal coated sheet and strip;0
MLT;Edu;2040<;Non-metallic coated sheet and strip;0
MLT;Edu;2040<;Welded tubes;0
MLT;Edu;2040<;Liquid steel;0
MLT;Hea;>1945;Concrete reinforcing bars in transport concrete;0
